Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
1,2017,12,10,Boyacá,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
2,2017,12,25,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
3,2018,4,19,Boyacá,Volcamiento,Sin causa especifica,Curva Derecha,Plano,Terraplen,0,0,0
4,2017,9,26,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
5,2017,2,10,Antioquia,Atropello,Sin causa especifica,Recta,Plano,Media ladera Izquierda,0,2,0
6,2017,12,27,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
7,2017,5,18,Antioquia,Atropello,Sin causa especifica,Recta,Plano,Media ladera Izquierda,0,1,0
8,2017,7,18,Tolima,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
9,2016,12,23,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
10,2017,10,2,Tolima,Choque,Sin causa especifica,Curva Izquierda,Escarpado,Media ladera Izquierda,0,0,0
11,2016,12,25,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
12,2017,12,15,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media ladera Izquierda,1,12,0
13,2017,9,5,Tolima,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media ladera Izquierda,0,0,0
14,2018,3,18,Casanare,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
15,2018,2,24,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
16,2018,1,10,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,3,0
17,2018,1,8,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,1,1
18,2018,8,7,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
19,2017,12,29,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
20,2018,1,3,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Terraplen,0,1,0
21,2017,12,3,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Terraplen,0,0,0
22,2018,8,8,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
23,2018,1,7,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,1
24,2018,2,28,Antioquia,Volcamiento,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
25,2017,1,13,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
26,2018,2,2,Antioquia,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,1,0
27,2017,12,12,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
28,2017,6,6,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
29,2018,5,27,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
30,2018,3,27,Caldas,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
31,2017,11,16,Antioquia,Volcamiento,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
32,2018,8,21,Quindío,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media Ladera Derecha,0,2,0
33,2018,7,27,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
34,2018,3,8,Norte de Santander,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,2,0
35,2018,7,30,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
36,2017,11,23,Tolima,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media Ladera Derecha,0,0,0
37,2017,12,23,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
38,2017,9,2,Tolima,Choque,Sin causa especifica,Curva Izquierda,Escarpado,Media ladera Izquierda,0,0,0
39,2017,12,23,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
40,2017,12,29,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media Ladera Derecha,0,0,0
41,2018,6,30,Quindío,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,1
42,2017,10,26,Tolima,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media ladera Izquierda,0,0,0
43,2018,8,31,Boyacá,Caída de carga,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
44,2017,12,21,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0
45,2018,3,28,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
46,2017,12,19,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
47,2019,2,26,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,1,0
48,2018,2,16,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
49,2017,9,10,Tolima,Choque,Sin causa especifica,Curva Izquierda,Escarpado,Media ladera Izquierda,0,0,0
50,2017,11,26,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
51,2018,7,29,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
52,2018,8,19,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
53,2018,2,14,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media Ladera Derecha,0,0,0
54,2017,12,18,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
